Año,Alcaldía,Grupo de edad,Población,menores_de_18,mayores_de_18,Categoria de Edad,Categoria de edad
2020,Iztapalapa,30 a 34 años,144870,False,True,Mayores de edad,Mayores de Edad
2020,Iztapalapa,35 a 39 años,136930,False,True,Mayores de edad,Mayores de Edad
2020,Iztapalapa,40 a 44 años,131513,False,True,Mayores de edad,Mayores de Edad
2020,Iztapalapa,45 a 49 años,129385,False,True,Mayores de edad,Mayores de Edad
2020,Iztapalapa,50 a 54 años,118681,False,True,Mayores de edad,Mayores de Edad
2020,Iztapalapa,55 a 59 años,99290,False,True,Mayores de edad,Mayores de Edad
2020,Iztapalapa,60 a 64 años,87752,False,True,Mayores de edad,Mayores de Edad
2020,Iztapalapa,65 a 69 años,64935,False,True,Mayores de edad,Mayores de Edad
2020,Iztapalapa,70 a 74 años,46866,False,True,Mayores de edad,Mayores de Edad
2020,Iztapalapa,75 a 79 años,29463,False,True,Mayores de edad,Mayores de Edad
2020,Iztapalapa,80 a 84 años,17848,False,True,Mayores de edad,Mayores de Edad
2020,Iztapalapa,85 a 89 años,9780,False,True,Mayores de edad,Mayores de Edad
2020,Iztapalapa,90 a 94 años,3883,False,True,Mayores de edad,Mayores de Edad
2020,Iztapalapa,95 a 99 años,1337,False,True,Mayores de edad,Mayores de Edad
2020,Iztapalapa,100 años y más,200,False,True,Mayores de edad,Mayores de Edad
2020,Iztapalapa,No especificado,395,False,False,,
2020,La Magdalena Contreras,0 a 4 años,13012,True,False,Menores de Edad,Menores de Edad
2020,La Magdalena Contreras,5 a 9 años,16270,True,False,Menores de Edad,Menores de Edad
2020,La Magdalena Contreras,10 a 14 años,18096,True,False,Menores de Edad,Menores de Edad
2020,La Magdalena Contreras,15 a 19 años,18889,False,False,Menores de Edad,Menores de Edad
2020,La Magdalena Contreras,20 a 24 años,19969,False,False,Mayores de edad,Mayores de Edad
2020,La Magdalena Contreras,25 a 29 años,19833,False,True,Mayores de edad,Mayores de Edad
2020,La Magdalena Contreras,30 a 34 años,18142,False,True,Mayores de edad,Mayores de Edad
2020,La Magdalena Contreras,35 a 39 años,17677,False,True,Mayores de edad,Mayores de Edad
2020,La Magdalena Contreras,40 a 44 años,17816,False,True,Mayores de edad,Mayores de Edad
2020,La Magdalena Contreras,45 a 49 años,18821,False,True,Mayores de edad,Mayores de Edad
2020,La Magdalena Contreras,50 a 54 años,17234,False,True,Mayores de edad,Mayores de Edad
2020,La Magdalena Contreras,55 a 59 años,13747,False,True,Mayores de edad,Mayores de Edad
2020,La Magdalena Contreras,60 a 64 años,12007,False,True,Mayores de edad,Mayores de Edad
2020,La Magdalena Contreras,65 a 69 años,9248,False,True,Mayores de edad,Mayores de Edad
