precio,ubicacion,delegacion,colonia,tamanio,latitud,longitud
10000000,"Insurgentes -,  Roma, Cuauhtémoc",Cuauhtémoc,Roma,60,19.409,-99.15
30000,"Lóndres,  Juárez, Cuauhtémoc",Cuauhtémoc,Juárez,70,19.423,-99.16
20000,"CAMPECHE  439,  Hipódromo Condesa, Cuauhtémoc",Cuauhtémoc,Hipódromo Condesa,17,19.411,-99.17
30000,"Av. Clavería,  Clavería, Azcapotzalco",Azcapotzalco,Clavería,55,19.465,-99.18
22500,"Guerrero 145,  Guerrero, Cuauhtémoc",Cuauhtémoc,Guerrero,60,19.443,-99.14
16000,"TUXPAN ,  Roma Sur, Cuauhtémoc",Cuauhtémoc,Roma Sur,5031,19.404,-99.16
40000,"Schiller, 152,  Polanco, Miguel Hidalgo",Polanco,152,45,19.435,-99.18
25000,"GOYA,  Insurgentes Mixcoac, Benito Juárez",Benito Juárez,Insurgentes Mixcoac,4510,19.373,-99.18
22500,",  Federal, Venustiano Carranza",Venustiano Carranza,Federal,80,19.419,-99.08
26680,"ISABEL LA CATOLICA,  Cuauhtémoc, Cuauhtémoc",Cuauhtémoc,Cuauhtémoc,23,19.406,-99.13
7500,"Petén,  Narvarte Oriente, Benito Juárez",Benito Juárez,Narvarte Oriente,12,19.387,-99.15
13500,"Calle 1 No. ,  Francisco I Madero, Miguel Hidalgo",Miguel Hidalgo,Francisco I Madero,40,19.447,-99.2
4000,"Avenida Oceanía 150,  Romero Rubio, Venustiano Carranza",Venustiano Carranza,Romero Rubio,20,19.44,-99.09
12000,"FELIX CUEVAS,  Del Valle Sur, Benito Juárez",Benito Juárez,Del Valle Sur,45,19.372,-99.17
13000,"Doctor Vertiz al 200,  Doctores, Cuauhtémoc",Cuauhtémoc,Doctores,70,19.414,-99.14
50000,"Avenida de las Palmas,  Lomas de Chapultepec, Miguel Hidalgo",Miguel Hidalgo,Lomas de Chapultepec,291,19.426,-99.22
5700,"Eje 2 Poniente Gabriel Mancera,  Del Valle Sur, Benito Juárez",Benito Juárez,Del Valle Sur,8,19.375,-99.16
8000,"BOLAÑOS,  Felipe Pescador, Cuauhtémoc",Cuauhtémoc,Felipe Pescador,30,19.454,-99.12
11000,"Francisco Petrarca ,  Polanco, Miguel Hidalgo",Miguel Hidalgo,Polanco,15,19.434,-99.18
6500,"Miramontes,  Avante, Coyoacán",Coyoacán,Avante,18,19.332,-99.13
10000,"Sur,  América, Miguel Hidalgo",Miguel Hidalgo,América,28,19.401,-99.2
45000,"Calle Arquímedes 130, Polanco, Polanco IV Secc, Miguel Hidalgo, 11550 Ciudad de México, CDMX,  Polanco IV Sección, Polanco",Polanco IV Secc,Polanco,651,19.433,-99.19
13500,"Avenida Unión 159,  Agrícola Pantitlan, Iztacalco",Iztacalco,Agrícola Pantitlan,801,19.416,-99.06
45000,"Cadetes del ,  San Miguel Chapultepec, Miguel Hidalgo",Miguel Hidalgo,San Miguel Chapultepec,70,19.42,-99.17
10000,"EJIDO DE SANTA BARBARA ,  Ex-Ejido de San Francisco CulhuacAn, Coyoacán",Coyoacán,Ex-Ejido de San Francisco CulhuacAn,30,19.334,-99.12
45000,"marina nacional ,  Anáhuac I Sección, Miguel Hidalgo",Miguel Hidalgo,Anáhuac I Sección,45,19.441,-99.17
25000,"Marina Nacional,  Anáhuac I Sección, Miguel Hidalgo",Miguel Hidalgo,Anáhuac I Sección,25,19.45,-99.18
25000,"MONTECITO 38 ,  Nápoles, Benito Juárez",Benito Juárez,Nápoles,40,19.395,-99.17
12000,"Tihuatlán No. 10 ,  San Jerónimo Aculco, Alvaro Obregón",Alvaro Obregón,San Jerónimo Aculco,12,19.317,-99.22
35000,"Pedregal 78,  Lomas Virreyes, Miguel Hidalgo",Miguel Hidalgo,Lomas Virreyes,53,19.422,-99.2
600040,"Priv. Venustiano Carranza lT. 4,  Palmatitla, Gustavo A. Madero",Gustavo A. Madero,Palmatitla,70,19.551,-99.13
60000,"Masaryk ,  Polanco, Miguel Hidalgo",Miguel Hidalgo,Polanco,801,19.432,-99.2
12000,"Av. Universidad ,  Letrán Valle, Benito Juárez",Benito Juárez,Letrán Valle,50,19.372,-99.16
63000,"Alejandro Dumas ,  Polanco IV Sección, Polanco",Polanco,Polanco IV Sección,73,19.431,-99.19
3984,"Álvaro Obregón 19,  San Juan Tepeximilpa, Tlalpan",Tlalpan,San Juan Tepeximilpa,21,19.269,-99.19
50000,"HIPODROMO,  Hipódromo, Cuauhtémoc",Cuauhtémoc,Hipódromo,50,19.409,-99.17
15000,"Revillagigedo 84,  Colonia Centro, Cuauhtémoc",Cuauhtémoc,Colonia Centro,50,19.429,-99.14
60000,"Masaryk ,  Polanco, Miguel Hidalgo",Miguel Hidalgo,Polanco,8021,19.432,-99.2
31236,"av montevideo 363 colonia lindavista,  Lindavista, Gustavo A. Madero",Gustavo A. Madero,Lindavista,312,19.492,-99.13
33411,"insurgentes sur 859,  Nápoles, Benito Juárez",Benito Juárez,Nápoles,501,19.388,-99.17
27018,"Calle Lago Alberto,  Anáhuac I Sección, Miguel Hidalgo",Miguel Hidalgo,Anáhuac I Sección,29,19.439,-99.18
18017,"Calle Alfonso Herrera,  San Rafael, Cuauhtémoc",Cuauhtémoc,San Rafael,14,19.44,-99.16
40000,"Castillo de Chapultepec,  Lomas de Chapultepec, Miguel Hidalgo",Miguel Hidalgo,Lomas de Chapultepec,40,19.42,-99.18
8000,"Renta Local Cuajimalpa,  Lomas de Vista Hermosa, Cuajimalpa de Morelos",Cuajimalpa de Morelos,Lomas de Vista Hermosa,28,19.37,-99.27
40000,"Castillo de Chapultepec,  Lomas de Chapultepec, Miguel Hidalgo",Miguel Hidalgo,Lomas de Chapultepec,40,19.42,-99.18
48018,"Calle Lago Alberto ,  Anáhuac I Sección, Miguel Hidalgo",Miguel Hidalgo,Anáhuac I Sección,53,19.439,-99.18
16567,"Miguel Ángel de Quevedo,  Parque San Andrés, Coyoacán",Coyoacán,Parque San Andrés,16,19.342,-99.14
15483,"Miguel Ángel de Quevedo,  Parque San Andrés, Coyoacán",Coyoacán,Parque San Andrés,16,19.342,-99.14
20000,"Kelvin S/N,  Anzures, Miguel Hidalgo",Miguel Hidalgo,Anzures,80,19.434,-99.18
21017,"Calle Alfonso Herrera ,  San Rafael, Cuauhtémoc",Cuauhtémoc,San Rafael,13,19.439,-99.15
23017,"Calle Alfonso Herrera,  San Rafael, Cuauhtémoc",Cuauhtémoc,San Rafael,21,19.44,-99.16
30000,"Prado Norte,  Lomas de Chapultepec, Miguel Hidalgo",Miguel Hidalgo,Lomas de Chapultepec,59,19.426,-99.2
10000,"Av Tlahuac 129,  Santiago Sur, Tláhuac",Tláhuac,Santiago Sur,80,19.297,-99.03
11000,"Carretera Mexico Toluca  al 5000,  Santa Fe Cuajimalpa, Cuajimalpa de Morelos",Cuajimalpa de Morelos,Santa Fe Cuajimalpa,12,19.366,-99.27
18000,"Av. San Jerónimo,  San Jerónimo Lídice, La Magdalena Contreras",La Magdalena Contreras,San Jerónimo Lídice,80,19.332,-99.21
27017,"Calle Lago Alberto,  Anáhuac I Sección, Miguel Hidalgo",Miguel Hidalgo,Anáhuac I Sección,27,19.439,-99.18
